date,region.sk.aerodrom.cases.active,region.sk.aerodrom.cases.confirmed.todate,region.sk.aerodrom.deceased.todate,region.sk.arachinovo.cases.active,region.sk.arachinovo.cases.confirmed.todate,region.sk.arachinovo.deceased.todate,region.sk.butel.cases.active,region.sk.butel.cases.confirmed.todate,region.sk.butel.deceased.todate,region.sk.centar.cases.active,region.sk.centar.cases.confirmed.todate,region.sk.centar.deceased.todate,region.sk.chair.cases.active,region.sk.chair.cases.confirmed.todate,region.sk.chair.deceased.todate,region.sk.chucher-sandevo.cases.active,region.sk.chucher-sandevo.cases.confirmed.todate,region.sk.chucher-sandevo.deceased.todate,region.sk.gazi_baba.cases.active,region.sk.gazi_baba.cases.confirmed.todate,region.sk.gazi_baba.deceased.todate,region.sk.gjorche_petrov.cases.active,region.sk.gjorche_petrov.cases.confirmed.todate,region.sk.gjorche_petrov.deceased.todate,region.sk.ilinden.cases.active,region.sk.ilinden.cases.confirmed.todate,region.sk.ilinden.deceased.todate,region.sk.karposh.cases.active,region.sk.karposh.cases.confirmed.todate,region.sk.karposh.deceased.todate,region.sk.kisela_voda.cases.active,region.sk.kisela_voda.cases.confirmed.todate,region.sk.kisela_voda.deceased.todate,region.sk.petrovets.cases.active,region.sk.petrovets.cases.confirmed.todate,region.sk.petrovets.deceased.todate,region.sk.saraj.cases.active,region.sk.saraj.cases.confirmed.todate,region.sk.saraj.deceased.todate,region.sk.shuto_orizari.cases.active,region.sk.shuto_orizari.cases.confirmed.todate,region.sk.shuto_orizari.deceased.todate,region.sk.sopishte.cases.active,region.sk.sopishte.cases.confirmed.todate,region.sk.sopishte.deceased.todate,region.sk.studenichani.cases.active,region.sk.studenichani.cases.confirmed.todate,region.sk.studenichani.deceased.todate,region.sk.zelenikovo.cases.active,region.sk.zelenikovo.cases.confirmed.todate,region.sk.zelenikovo.deceased.todate
2020-06-01,34,34,,4,4,,38,38,,8,8,,84,84,,0,0,,32,32,,8,8,,11,11,,13,13,,12,12,,8,8,,43,43,,9,9,,2,2,,13,13,,0,0,
2020-06-02,47,47,,8,8,,47,47,,24,24,,97,97,,0,0,,38,38,,11,11,,10,10,,17,17,,17,17,,5,5,,47,47,,9,9,,2,2,,13,13,,0,0,
2020-06-03,45,45,,17,17,,54,54,,28,28,,111,111,,2,2,,42,42,,15,15,,11,11,,26,26,,18,18,,5,5,,48,48,,9,9,,2,2,,17,17,,0,0,
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-06,53,53,,23,23,,59,59,,52,52,,152,152,,3,3,,58,58,,17,17,,17,17,,40,40,,29,29,,6,6,,52,52,,12,12,,2,2,,18,18,,0,0,
2020-06-07,57,57,,23,23,,63,63,,64,64,,168,168,,3,3,,58,58,,18,18,,18,18,,45,45,,35,35,,6,6,,55,55,,17,17,,2,2,,19,19,,0,0,
2020-06-08,61,61,,23,23,,68,68,,66,66,,192,192,,3,3,,63,63,,23,23,,18,18,,57,57,,37,37,,6,6,,55,55,,21,21,,2,2,,20,20,,0,0,
2020-06-09,67,67,,24,24,,72,72,,71,71,,195,195,,3,3,,66,66,,26,26,,19,19,,64,64,,39,39,,6,6,,58,58,,21,21,,2,2,,24,24,,0,0,
2020-06-10,75,75,,24,24,,76,76,,73,73,,209,209,,4,4,,75,75,,35,35,,19,19,,72,72,,43,43,,6,6,,64,64,,26,26,,2,2,,24,24,,0,0,
